"subject","dom_key","nondom_key","trial","transition_step","condition","total_runtime_mins","frame_count","coherence","resp_key","rt","accuracy"
939681,"j","f",32,40,"dom",2.3886987,1528,0.833333333333333,"j",0.667916,1
939681,"j","f",33,41,"dom",2.40261278333333,1577,0.854166666666667,"j",0.684894,1
939681,"j","f",34,48,"nondom",NA,NA,NA,NA,NA,1
939681,"j","f",35,42,"dom",2.43012478333333,1674,0.875,"j",0.700459,1
939681,"j","f",36,48,"dom",2.44708871666667,1733,0.104166666666667,"j",0.88298,1
939681,"j","f",37,5,"dom",2.45988443333333,1778,0.0416666666666667,"j",0.83299,1
939681,"j","f",38,2,"dom",2.47350296666667,1826,0.0416666666666667,"j",0.832988,1
939681,"j","f",39,2,"dom",2.48630615,1872,1,"j",0.801179,1
939681,"j","f",40,40,"dom",2.49770243333333,1912,0.833333333333333,"j",0.667782,1
939681,"j","f",41,31,"dom",2.50882473333333,1951,0.645833333333333,"j",0.517172,1
939681,"j","f",42,31,"dom",2.75714093333333,1999,0.645833333333333,"j",14.598671,1
939681,"j","f",43,31,"dom",2.77077203333333,2047,0.645833333333333,"j",0.517962,1
939681,"j","f",44,25,"dom",2.78272581666667,2089,0.520833333333333,"j",0.416915,1
939681,"j","f",45,26,"dom",2.7966423,2138,0.541666666666667,"j",0.435042,1
939681,"j","f",46,24,"dom",2.80970811666667,2184,0.5,"j",0.400839,1
939681,"j","f",47,21,"dom",2.82249458333333,2229,0.4375,"j",0.34993,1
939681,"j","f",48,24,"dom",2.83696058333333,2280,0.5,"j",0.400981,1
939681,"j","f",49,26,"dom",2.85113313333333,2330,0.541666666666667,"j",0.433937,1
939681,"j","f",50,26,"dom",2.864762,2378,0.541666666666667,"j",0.433859,1
939681,"j","f",51,25,"dom",2.8781112,2425,0.520833333333333,"j",0.417043,1
939681,"j","f",52,24,"dom",2.8914544,2472,0.5,"j",0.40105,1
939681,"j","f",53,19,"dom",2.91787555,2565,0.4375,"j",1.151011,1
939681,"j","f",54,21,"nondom",NA,NA,NA,NA,NA,1
939681,"j","f",55,29,"dom",2.93372663333333,2621,0.604166666666667,"j",0.484158,1
939681,"j","f",56,28,"dom",2.94707453333333,2668,0.583333333333333,"j",0.467982,1
939681,"j","f",57,28,"dom",2.9607086,2716,0.583333333333333,"j",0.468026,1
939681,"j","f",58,36,"dom",2.97654465,2772,0.75,"j",0.600878,1
939681,"j","f",59,39,"dom",2.99101031666667,2823,0.8125,"j",0.65101,1
939681,"j","f",60,37,"dom",3.00408133333333,2869,0.770833333333333,"j",0.617891,1
939681,"j","f",61,30,"dom",3.01576336666667,2910,0.625,"j",0.500986,1
939681,"j","f",62,28,"dom",3.02881876666667,2956,0.583333333333333,"j",0.467242,1
939681,"j","f",63,27,"dom",3.04217226666667,3003,0.5625,"j",0.45031,1
939681,"j","f",64,29,"dom",3.0563592,3053,0.604166666666667,"j",0.484842,1
939681,"j","f",65,31,"dom",3.07052931666667,3103,0.645833333333333,"j",0.517316,1
939681,"j","f",66,33,"dom",3.0847152,3153,0.6875,"j",0.551134,1
939681,"j","f",67,31,"dom",3.0977836,3199,0.645833333333333,"j",0.516832,1
939681,"j","f",68,29,"nondom",3.11085335,3245,0.604166666666667,"j",0.484162,0
939681,"j","f",69,29,"dom",3.12448223333333,3293,0.604166666666667,"j",0.483843,1
939681,"j","f",70,25,"dom",3.13700735,3337,0.520833333333333,"j",0.418397,1
939681,"j","f",71,29,"dom",3.1517309,3389,0.604166666666667,"j",0.484414,1
939681,"j","f",72,33,"dom",3.16646776666667,3441,0.6875,"j",0.551035,1
939681,"j","f",73,39,"dom",3.18176555,3495,0.8125,"j",0.650932,1
939681,"j","f",74,37,"dom",3.19482896666667,3541,0.770833333333333,"j",0.616829,1
939681,"j","f",75,33,"dom",3.20734845,3585,0.6875,"j",0.551236,1
939681,"j","f",76,32,"dom",3.2206949,3632,0.666666666666667,"j",0.533876,1
939681,"j","f",77,34,"dom",3.47402966666667,3682,0.708333333333333,"j",14.916179,1
939681,"j","f",78,42,"dom",3.4898745,3738,0.875,"j",0.70077,1
939681,"j","f",79,48,"nondom",NA,NA,NA,NA,NA,1
939681,"j","f",80,36,"nondom",3.51547086666667,3828,0.75,"j",0.601803,0
